latitude,longitude,altitude,geometry,id,name,coordinates,totalDocks,docksAvailable,bikesAvailable,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,rewardBikesAvailable,rewardDocksAvailable,kioskStatus,kioskPublicStatus,kioskConnectionStatus,kioskType,addressStreet,addressCity,addressState,addressZipCode,bikes,closeTime,eventEnd,eventStart,isEventBased,isVirtual,kioskId,notes,openTime,publicText,timeZone,trikesAvailable
39.95381,-75.17407,,Point,,3156,20th & Market,22,8,13,11,0,2,13,9,FullService,Active,Active,1,2005 market street,Philadelphia,PA,19103,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|5|false|false|null|6|false|true|null|7|false|true|null|8|false|true|null|9|false|true|null|11|false|true|null|13|false|true|null|18|false|true|null|20|true|true|0.8|22|true|true|0.8,,,,false,false,3156,,,,,0
39.92545,-75.15954,,Point,,3157,"8th & Mifflin, Bok Building",18,10,7,7,0,0,8,10,FullService,Active,Active,1,808 Mifflin St.,Philadelphia,PA,19148,2|false|false|null|3|false|true|null|4|false|true|null|6|false|true|null|14|false|true|null|16|false|true|null|17|false|true|null|18|false|true|null,,,,false,false,3157,,,,,0
39.92552,-75.16904,,Point,,3158,Broad & Passyunk ,16,4,10,8,0,2,10,5,FullService,Active,Active,1,1384 McKean Street,Philadelphia,PA,19148,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|5|true|true|0.8|7|true|true|0.8|8|false|false|null|11|false|true|null|13|false|true|null|14|false|false|null|15|false|true|null|16|false|true|null,,,,false,false,3158,,,,,0
39.95121,-75.19962,,Point,,3159,38th & Spruce,23,20,2,1,0,1,2,21,FullService,Active,Active,1,3804 spruce street,Philadelphia,PA,19104,19|false|true|null|20|true|true|0.8|21|false|false|null,,,,false,false,3159,,,,,0
39.95662,-75.19862,,Point,,3160,38th & Market,40,29,11,8,0,3,11,29,FullService,Active,Active,1,3810 Market St.,Philadelphia,PA,19104,1|true|true|0.8|2|false|true|null|3|false|true|null|4|false|true|null|5|false|true|null|6|false|true|null|7|true|true|0.8|8|false|true|null|9|false|true|null|11|false|true|null|12|true|true|0.8,,,,false,false,3160,,,,,0
39.95486,-75.18091,,Point,,3161,30th Street Station East,23,14,6,2,0,4,7,16,FullService,Active,Active,1,Market & Schuylkill Ave,Philadelphia,PA,19104,2|false|true|null|5|true|true|0.8|14|false|false|null|16|false|false|null|18|true|true|0.8|19|true|true|0.8|21|true|true|0.8|22|false|false|null|23|false|true|null,,,,false,false,3161,,,,,0
39.94595,-75.18475,,Point,,3162,27th & South,34,19,13,12,0,1,13,21,FullService,Active,Active,1,630 Schuylkill Ave,Philadelphia,PA,19146,1|true|true|0.8|2|false|false|null|3|false|true|null|6|false|true|null|9|false|true|null|11|false|false|null|14|false|true|null|19|false|true|null|21|false|true|null|25|false|true|null|27|false|true|null|28|false|true|null|30|false|true|null|31|false|true|null|32|false|true|null,,,,false,false,3162,,,,,0
39.94974,-75.18097,,Point,,3163,25th & Locust,21,7,13,13,0,0,14,7,FullService,Active,Active,1,229 S. 25th Street ,Philadelphia,PA,19122,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|6|false|true|null|7|false|true|null|9|false|true|null|11|false|true|null|13|false|true|null|15|false|false|null|16|false|true|null|19|false|true|null|20|false|true|null|21|false|true|null,,,,false,false,3163,,,,,0
39.92814,-75.16515,,Point,,3164,12th & Passyunk,18,8,8,8,0,0,10,8,FullService,Active,Active,1,1724 S. 12th St,Philadelphia,PA,19122,2|false|true|null|4|false|true|null|5|false|true|null|6|false|false|null|7|false|true|null|10|false|false|null|12|false|true|null|13|false|true|null|16|false|true|null|18|false|true|null,,,,false,false,3164,,,,,0
39.95819,-75.1782,,Point,,3165,24th & Race SRT,22,8,11,9,0,2,13,9,FullService,Active,Active,1,2317 Race St,Philadelphia,PA,19103,2|false|true|null|8|false|true|null|11|false|true|null|12|false|true|null|13|true|true|0.8|14|false|true|null|15|false|true|null|16|true|true|0.8|17|false|false|null|18|false|true|null|19|false|true|null|20|false|true|null|21|false|false|null|22|false|false|null,,,,false,false,3165,,,,,0
39.97235,-75.13445,,Point,,3166,Frankford & Belgrade,22,11,11,9,0,2,11,11,FullService,Active,Active,1,1424 Frankford Ave,Philadelphia,PA,19122,1|true|true|0.8|2|false|true|null|3|true|true|0.8|9|false|true|null|10|false|true|null|12|false|true|null|14|false|true|null|16|false|true|null|17|false|true|null|20|false|true|null|22|false|true|null,,,,false,false,3166,,,,,0
39.95025,-75.16028,,Point,,3167,12th & Chestnut,18,4,11,11,0,0,12,5,FullService,Active,Active,1,118 S. 12th St.,Philadelphia,PA,19122,2|false|true|null|3|false|false|null|4|false|true|null|6|false|false|null|7|false|true|null|8|false|true|null|11|false|true|null|12|false|true|null|13|false|true|null|14|false|false|null|15|false|true|null|16|false|true|null|17|false|true|null|18|false|true|null,,,,false,false,3167,,,,,0
39.95134,-75.17394,,Point,,3168,20th & Sansom,23,22,1,1,0,0,1,22,FullService,Active,Active,1,129 S. 20th St.,Philadelphia,PA,19122,15|false|true|null,,,,false,false,3168,,,,,0
39.95382,-75.14263,,Point,,3169,2nd & Race,17,14,2,0,0,2,2,15,FullService,Active,Active,1,151 Race St,Philadelphia,PA,19106,9|false|false|null|13|true|true|0.8|17|true|true|0.8,,,,false,false,3169,,,,,0
39.94426,-75.18134,,Point,,3170,Grays Ferry & Pemberton,16,12,3,3,0,0,4,12,FullService,Active,Active,1,2332 Grays Ferry Ave,Philadelphia,PA,19146,3|false|false|null|10|false|true|null|14|false|true|null|16|false|true|null,,,,false,false,3170,,,,,0
39.89629,-75.17514,,Point,,3181,Crescent Park,20,18,2,1,0,1,2,18,FullService,Active,Active,1,"Crescent Park, Crescent Drive",Philadelphia,PA,19112,4|true|true|0.8|8|false|true|null,,,,false,false,3181,,,,,0
39.95081,-75.16953,,Point,,3182,17th & Sansom,21,5,15,12,0,3,16,5,FullService,Active,Active,1,17th & Sansom,Philadelphia,PA,19112,1|false|true|null|3|true|true|0.8|4|false|true|null|5|true|true|0.8|8|false|false|null|9|false|true|null|10|false|true|null|11|false|true|null|13|true|true|0.8|14|false|true|null|15|false|true|null|16|false|true|null|17|false|true|null|18|false|true|null|19|false|true|null|20|false|true|null,,,,false,false,3182,,,,,0
